target_x,target_y,gaze_x,gaze_y
7.600000000000000000e+02,5.400000000000000000e+02,9.830000000000000000e+02,-2.630000000000000000e+02
7.700000000000000000e+02,5.400000000000000000e+02,9.830000000000000000e+02,-2.630000000000000000e+02
7.770000000000000000e+02,5.400000000000000000e+02,9.760000000000000000e+02,-2.450000000000000000e+02
7.840000000000000000e+02,5.400000000000000000e+02,9.760000000000000000e+02,-2.590000000000000000e+02
7.910000000000000000e+02,5.400000000000000000e+02,9.770000000000000000e+02,-3.010000000000000000e+02
7.990000000000000000e+02,5.400000000000000000e+02,9.860000000000000000e+02,-3.350000000000000000e+02
8.060000000000000000e+02,5.400000000000000000e+02,9.990000000000000000e+02,-3.480000000000000000e+02
8.140000000000000000e+02,5.400000000000000000e+02,1.011000000000000000e+03,-3.650000000000000000e+02
8.220000000000000000e+02,5.400000000000000000e+02,1.030000000000000000e+03,-3.660000000000000000e+02
8.290000000000000000e+02,5.400000000000000000e+02,1.051000000000000000e+03,-3.280000000000000000e+02
8.360000000000000000e+02,5.400000000000000000e+02,1.072000000000000000e+03,-3.350000000000000000e+02
8.430000000000000000e+02,5.400000000000000000e+02,1.098000000000000000e+03,-3.450000000000000000e+02
8.500000000000000000e+02,5.400000000000000000e+02,1.125000000000000000e+03,-3.760000000000000000e+02
8.620000000000000000e+02,5.400000000000000000e+02,1.147000000000000000e+03,-3.840000000000000000e+02
8.700000000000000000e+02,5.400000000000000000e+02,1.165000000000000000e+03,-4.000000000000000000e+02
8.780000000000000000e+02,5.400000000000000000e+02,1.176000000000000000e+03,-3.790000000000000000e+02
8.850000000000000000e+02,5.400000000000000000e+02,1.181000000000000000e+03,-3.600000000000000000e+02
8.940000000000000000e+02,5.400000000000000000e+02,1.184000000000000000e+03,-3.130000000000000000e+02
9.020000000000000000e+02,5.400000000000000000e+02,1.187000000000000000e+03,-2.940000000000000000e+02
9.120000000000000000e+02,5.400000000000000000e+02,1.187000000000000000e+03,-2.940000000000000000e+02
9.210000000000000000e+02,5.400000000000000000e+02,1.193000000000000000e+03,-2.850000000000000000e+02
9.290000000000000000e+02,5.400000000000000000e+02,1.194000000000000000e+03,-2.790000000000000000e+02
9.360000000000000000e+02,5.400000000000000000e+02,1.194000000000000000e+03,-2.790000000000000000e+02
9.430000000000000000e+02,5.400000000000000000e+02,1.194000000000000000e+03,-2.790000000000000000e+02
9.510000000000000000e+02,5.400000000000000000e+02,1.203000000000000000e+03,-2.640000000000000000e+02
9.570000000000000000e+02,5.400000000000000000e+02,1.212000000000000000e+03,-2.490000000000000000e+02
9.650000000000000000e+02,5.400000000000000000e+02,1.224000000000000000e+03,-2.410000000000000000e+02
9.730000000000000000e+02,5.400000000000000000e+02,1.243000000000000000e+03,-2.540000000000000000e+02
9.800000000000000000e+02,5.400000000000000000e+02,1.266000000000000000e+03,-2.690000000000000000e+02
9.870000000000000000e+02,5.400000000000000000e+02,1.291000000000000000e+03,-2.760000000000000000e+02
9.940000000000000000e+02,5.400000000000000000e+02,1.317000000000000000e+03,-3.150000000000000000e+02
1.001000000000000000e+03,5.400000000000000000e+02,1.347000000000000000e+03,-3.490000000000000000e+02
1.008000000000000000e+03,5.400000000000000000e+02,1.375000000000000000e+03,-3.550000000000000000e+02
1.016000000000000000e+03,5.400000000000000000e+02,1.402000000000000000e+03,-3.370000000000000000e+02
1.023000000000000000e+03,5.400000000000000000e+02,1.430000000000000000e+03,-3.380000000000000000e+02
1.031000000000000000e+03,5.400000000000000000e+02,1.458000000000000000e+03,-3.160000000000000000e+02
1.039000000000000000e+03,5.400000000000000000e+02,1.482000000000000000e+03,-2.860000000000000000e+02
1.046000000000000000e+03,5.400000000000000000e+02,1.502000000000000000e+03,-2.540000000000000000e+02
1.053000000000000000e+03,5.400000000000000000e+02,1.520000000000000000e+03,-2.310000000000000000e+02
1.061000000000000000e+03,5.400000000000000000e+02,1.535000000000000000e+03,-1.940000000000000000e+02
1.068000000000000000e+03,5.400000000000000000e+02,1.549000000000000000e+03,-1.700000000000000000e+02
1.076000000000000000e+03,5.400000000000000000e+02,1.566000000000000000e+03,-1.580000000000000000e+02
1.084000000000000000e+03,5.400000000000000000e+02,1.588000000000000000e+03,-1.550000000000000000e+02
1.091000000000000000e+03,5.400000000000000000e+02,1.612000000000000000e+03,-1.440000000000000000e+02
1.098000000000000000e+03,5.400000000000000000e+02,1.636000000000000000e+03,-1.360000000000000000e+02
1.105000000000000000e+03,5.400000000000000000e+02,1.655000000000000000e+03,-1.270000000000000000e+02
1.113000000000000000e+03,5.400000000000000000e+02,1.677000000000000000e+03,-1.080000000000000000e+02
1.121000000000000000e+03,5.400000000000000000e+02,1.688000000000000000e+03,-1.110000000000000000e+02
1.128000000000000000e+03,5.400000000000000000e+02,1.694000000000000000e+03,-1.390000000000000000e+02
1.136000000000000000e+03,5.400000000000000000e+02,1.703000000000000000e+03,-1.600000000000000000e+02
1.143000000000000000e+03,5.400000000000000000e+02,1.717000000000000000e+03,-1.910000000000000000e+02
1.150000000000000000e+03,5.400000000000000000e+02,1.724000000000000000e+03,-2.360000000000000000e+02
