target_x,target_y,gaze_x,gaze_y
7.600000000000000000e+02,5.400000000000000000e+02,6.650000000000000000e+02,7.650000000000000000e+02
7.680000000000000000e+02,5.400000000000000000e+02,6.640000000000000000e+02,7.550000000000000000e+02
7.720000000000000000e+02,5.400000000000000000e+02,6.630000000000000000e+02,7.440000000000000000e+02
7.770000000000000000e+02,5.400000000000000000e+02,6.610000000000000000e+02,7.320000000000000000e+02
7.810000000000000000e+02,5.400000000000000000e+02,6.600000000000000000e+02,7.200000000000000000e+02
7.850000000000000000e+02,5.400000000000000000e+02,6.600000000000000000e+02,7.100000000000000000e+02
7.890000000000000000e+02,5.400000000000000000e+02,6.640000000000000000e+02,7.010000000000000000e+02
7.940000000000000000e+02,5.400000000000000000e+02,6.670000000000000000e+02,6.940000000000000000e+02
7.980000000000000000e+02,5.400000000000000000e+02,6.730000000000000000e+02,6.860000000000000000e+02
8.020000000000000000e+02,5.400000000000000000e+02,6.730000000000000000e+02,6.860000000000000000e+02
8.060000000000000000e+02,5.400000000000000000e+02,6.730000000000000000e+02,6.860000000000000000e+02
8.100000000000000000e+02,5.400000000000000000e+02,6.740000000000000000e+02,6.920000000000000000e+02
8.140000000000000000e+02,5.400000000000000000e+02,6.730000000000000000e+02,7.020000000000000000e+02
8.190000000000000000e+02,5.400000000000000000e+02,6.700000000000000000e+02,7.170000000000000000e+02
8.230000000000000000e+02,5.400000000000000000e+02,6.670000000000000000e+02,7.310000000000000000e+02
8.270000000000000000e+02,5.400000000000000000e+02,6.670000000000000000e+02,7.440000000000000000e+02
8.310000000000000000e+02,5.400000000000000000e+02,6.680000000000000000e+02,7.570000000000000000e+02
8.350000000000000000e+02,5.400000000000000000e+02,6.690000000000000000e+02,7.690000000000000000e+02
8.400000000000000000e+02,5.400000000000000000e+02,6.720000000000000000e+02,7.860000000000000000e+02
8.440000000000000000e+02,5.400000000000000000e+02,6.750000000000000000e+02,8.000000000000000000e+02
8.480000000000000000e+02,5.400000000000000000e+02,6.780000000000000000e+02,8.130000000000000000e+02
8.520000000000000000e+02,5.400000000000000000e+02,6.810000000000000000e+02,8.260000000000000000e+02
8.560000000000000000e+02,5.400000000000000000e+02,6.850000000000000000e+02,8.360000000000000000e+02
8.600000000000000000e+02,5.400000000000000000e+02,6.850000000000000000e+02,8.360000000000000000e+02
8.650000000000000000e+02,5.400000000000000000e+02,6.940000000000000000e+02,8.320000000000000000e+02
8.690000000000000000e+02,5.400000000000000000e+02,7.020000000000000000e+02,8.300000000000000000e+02
8.730000000000000000e+02,5.400000000000000000e+02,7.090000000000000000e+02,8.220000000000000000e+02
8.770000000000000000e+02,5.400000000000000000e+02,7.160000000000000000e+02,8.110000000000000000e+02
8.810000000000000000e+02,5.400000000000000000e+02,7.240000000000000000e+02,8.000000000000000000e+02
8.860000000000000000e+02,5.400000000000000000e+02,7.320000000000000000e+02,7.880000000000000000e+02
8.900000000000000000e+02,5.400000000000000000e+02,7.410000000000000000e+02,7.730000000000000000e+02
8.940000000000000000e+02,5.400000000000000000e+02,7.490000000000000000e+02,7.590000000000000000e+02
8.980000000000000000e+02,5.400000000000000000e+02,7.580000000000000000e+02,7.480000000000000000e+02
9.020000000000000000e+02,5.400000000000000000e+02,7.660000000000000000e+02,7.400000000000000000e+02
9.070000000000000000e+02,5.400000000000000000e+02,7.750000000000000000e+02,7.320000000000000000e+02
9.110000000000000000e+02,5.400000000000000000e+02,7.850000000000000000e+02,7.240000000000000000e+02
9.150000000000000000e+02,5.400000000000000000e+02,7.960000000000000000e+02,7.150000000000000000e+02
9.190000000000000000e+02,5.400000000000000000e+02,8.060000000000000000e+02,7.070000000000000000e+02
9.240000000000000000e+02,5.400000000000000000e+02,8.170000000000000000e+02,6.980000000000000000e+02
9.280000000000000000e+02,5.400000000000000000e+02,8.260000000000000000e+02,6.900000000000000000e+02
9.320000000000000000e+02,5.400000000000000000e+02,8.350000000000000000e+02,6.820000000000000000e+02
9.360000000000000000e+02,5.400000000000000000e+02,8.440000000000000000e+02,6.740000000000000000e+02
9.400000000000000000e+02,5.400000000000000000e+02,8.530000000000000000e+02,6.670000000000000000e+02
9.450000000000000000e+02,5.400000000000000000e+02,8.630000000000000000e+02,6.590000000000000000e+02
9.490000000000000000e+02,5.400000000000000000e+02,8.740000000000000000e+02,6.520000000000000000e+02
9.530000000000000000e+02,5.400000000000000000e+02,8.830000000000000000e+02,6.450000000000000000e+02
9.570000000000000000e+02,5.400000000000000000e+02,8.910000000000000000e+02,6.410000000000000000e+02
9.620000000000000000e+02,5.400000000000000000e+02,8.970000000000000000e+02,6.370000000000000000e+02
9.660000000000000000e+02,5.400000000000000000e+02,8.970000000000000000e+02,6.370000000000000000e+02
9.700000000000000000e+02,5.400000000000000000e+02,8.970000000000000000e+02,6.370000000000000000e+02
9.740000000000000000e+02,5.400000000000000000e+02,9.030000000000000000e+02,6.360000000000000000e+02
9.790000000000000000e+02,5.400000000000000000e+02,9.030000000000000000e+02,6.360000000000000000e+02
