target_x,target_y,gaze_x,gaze_y
7.600000000000000000e+02,7.400000000000000000e+02,7.230000000000000000e+02,8.020000000000000000e+02
7.700000000000000000e+02,7.290000000000000000e+02,7.200000000000000000e+02,7.940000000000000000e+02
7.740000000000000000e+02,7.250000000000000000e+02,7.180000000000000000e+02,7.830000000000000000e+02
7.780000000000000000e+02,7.210000000000000000e+02,7.170000000000000000e+02,7.710000000000000000e+02
7.820000000000000000e+02,7.170000000000000000e+02,7.150000000000000000e+02,7.590000000000000000e+02
7.870000000000000000e+02,7.120000000000000000e+02,7.110000000000000000e+02,7.460000000000000000e+02
7.910000000000000000e+02,7.080000000000000000e+02,7.110000000000000000e+02,7.340000000000000000e+02
7.950000000000000000e+02,7.040000000000000000e+02,7.090000000000000000e+02,7.230000000000000000e+02
7.990000000000000000e+02,7.000000000000000000e+02,7.020000000000000000e+02,7.110000000000000000e+02
8.030000000000000000e+02,6.960000000000000000e+02,6.960000000000000000e+02,7.010000000000000000e+02
8.080000000000000000e+02,6.910000000000000000e+02,6.900000000000000000e+02,6.910000000000000000e+02
8.120000000000000000e+02,6.870000000000000000e+02,6.830000000000000000e+02,6.820000000000000000e+02
8.160000000000000000e+02,6.830000000000000000e+02,6.780000000000000000e+02,6.760000000000000000e+02
8.200000000000000000e+02,6.790000000000000000e+02,6.780000000000000000e+02,6.760000000000000000e+02
8.240000000000000000e+02,6.750000000000000000e+02,6.810000000000000000e+02,6.660000000000000000e+02
8.280000000000000000e+02,6.710000000000000000e+02,6.880000000000000000e+02,6.610000000000000000e+02
8.330000000000000000e+02,6.660000000000000000e+02,6.970000000000000000e+02,6.570000000000000000e+02
8.370000000000000000e+02,6.620000000000000000e+02,7.130000000000000000e+02,6.530000000000000000e+02
8.410000000000000000e+02,6.580000000000000000e+02,7.310000000000000000e+02,6.520000000000000000e+02
8.450000000000000000e+02,6.540000000000000000e+02,7.470000000000000000e+02,6.490000000000000000e+02
8.490000000000000000e+02,6.500000000000000000e+02,7.710000000000000000e+02,6.530000000000000000e+02
8.540000000000000000e+02,6.450000000000000000e+02,8.050000000000000000e+02,6.590000000000000000e+02
8.580000000000000000e+02,6.410000000000000000e+02,8.410000000000000000e+02,6.620000000000000000e+02
8.620000000000000000e+02,6.370000000000000000e+02,8.830000000000000000e+02,6.620000000000000000e+02
8.660000000000000000e+02,6.330000000000000000e+02,9.310000000000000000e+02,6.650000000000000000e+02
8.700000000000000000e+02,6.290000000000000000e+02,9.740000000000000000e+02,6.620000000000000000e+02
8.740000000000000000e+02,6.250000000000000000e+02,1.009000000000000000e+03,6.580000000000000000e+02
8.790000000000000000e+02,6.200000000000000000e+02,1.039000000000000000e+03,6.550000000000000000e+02
8.830000000000000000e+02,6.160000000000000000e+02,1.062000000000000000e+03,6.520000000000000000e+02
8.870000000000000000e+02,6.120000000000000000e+02,1.079000000000000000e+03,6.470000000000000000e+02
8.910000000000000000e+02,6.080000000000000000e+02,1.094000000000000000e+03,6.440000000000000000e+02
8.950000000000000000e+02,6.040000000000000000e+02,1.106000000000000000e+03,6.450000000000000000e+02
9.000000000000000000e+02,5.990000000000000000e+02,1.116000000000000000e+03,6.470000000000000000e+02
9.040000000000000000e+02,5.950000000000000000e+02,1.128000000000000000e+03,6.500000000000000000e+02
9.080000000000000000e+02,5.910000000000000000e+02,1.140000000000000000e+03,6.560000000000000000e+02
9.120000000000000000e+02,5.870000000000000000e+02,1.147000000000000000e+03,6.620000000000000000e+02
9.160000000000000000e+02,5.830000000000000000e+02,1.147000000000000000e+03,6.620000000000000000e+02
9.200000000000000000e+02,5.790000000000000000e+02,1.141000000000000000e+03,6.660000000000000000e+02
9.250000000000000000e+02,5.740000000000000000e+02,1.129000000000000000e+03,6.670000000000000000e+02
9.290000000000000000e+02,5.700000000000000000e+02,1.112000000000000000e+03,6.650000000000000000e+02
9.330000000000000000e+02,5.660000000000000000e+02,1.093000000000000000e+03,6.630000000000000000e+02
9.370000000000000000e+02,5.620000000000000000e+02,1.076000000000000000e+03,6.560000000000000000e+02
9.410000000000000000e+02,5.580000000000000000e+02,1.062000000000000000e+03,6.490000000000000000e+02
9.450000000000000000e+02,5.540000000000000000e+02,1.047000000000000000e+03,6.420000000000000000e+02
9.490000000000000000e+02,5.500000000000000000e+02,1.030000000000000000e+03,6.350000000000000000e+02
9.540000000000000000e+02,5.450000000000000000e+02,1.014000000000000000e+03,6.280000000000000000e+02
9.580000000000000000e+02,5.410000000000000000e+02,1.001000000000000000e+03,6.210000000000000000e+02
9.620000000000000000e+02,5.370000000000000000e+02,9.910000000000000000e+02,6.150000000000000000e+02
9.660000000000000000e+02,5.330000000000000000e+02,9.830000000000000000e+02,6.120000000000000000e+02
9.700000000000000000e+02,5.290000000000000000e+02,9.830000000000000000e+02,6.120000000000000000e+02
9.740000000000000000e+02,5.250000000000000000e+02,9.750000000000000000e+02,6.060000000000000000e+02
9.790000000000000000e+02,5.200000000000000000e+02,9.750000000000000000e+02,6.060000000000000000e+02
9.830000000000000000e+02,5.160000000000000000e+02,9.690000000000000000e+02,6.040000000000000000e+02
9.870000000000000000e+02,5.120000000000000000e+02,9.690000000000000000e+02,6.040000000000000000e+02
9.910000000000000000e+02,5.080000000000000000e+02,9.780000000000000000e+02,5.990000000000000000e+02
9.950000000000000000e+02,5.040000000000000000e+02,9.850000000000000000e+02,5.940000000000000000e+02
1.000000000000000000e+03,4.990000000000000000e+02,9.940000000000000000e+02,5.900000000000000000e+02
1.004000000000000000e+03,4.950000000000000000e+02,9.940000000000000000e+02,5.900000000000000000e+02
1.008000000000000000e+03,4.910000000000000000e+02,1.001000000000000000e+03,5.820000000000000000e+02
1.012000000000000000e+03,4.870000000000000000e+02,1.001000000000000000e+03,5.820000000000000000e+02
1.017000000000000000e+03,4.820000000000000000e+02,1.001000000000000000e+03,5.820000000000000000e+02
1.021000000000000000e+03,4.780000000000000000e+02,1.001000000000000000e+03,5.820000000000000000e+02
1.025000000000000000e+03,4.740000000000000000e+02,1.001000000000000000e+03,5.820000000000000000e+02
1.029000000000000000e+03,4.700000000000000000e+02,1.001000000000000000e+03,5.820000000000000000e+02
1.034000000000000000e+03,4.650000000000000000e+02,1.000000000000000000e+03,5.960000000000000000e+02
1.038000000000000000e+03,4.610000000000000000e+02,9.950000000000000000e+02,6.110000000000000000e+02
1.042000000000000000e+03,4.570000000000000000e+02,9.890000000000000000e+02,6.280000000000000000e+02
1.046000000000000000e+03,4.530000000000000000e+02,9.810000000000000000e+02,6.480000000000000000e+02
1.051000000000000000e+03,4.480000000000000000e+02,9.750000000000000000e+02,6.680000000000000000e+02
1.055000000000000000e+03,4.440000000000000000e+02,9.690000000000000000e+02,6.880000000000000000e+02
1.059000000000000000e+03,4.400000000000000000e+02,9.650000000000000000e+02,7.040000000000000000e+02
1.063000000000000000e+03,4.360000000000000000e+02,9.610000000000000000e+02,7.120000000000000000e+02
1.068000000000000000e+03,4.310000000000000000e+02,9.580000000000000000e+02,7.190000000000000000e+02
1.072000000000000000e+03,4.270000000000000000e+02,9.560000000000000000e+02,7.270000000000000000e+02
1.076000000000000000e+03,4.230000000000000000e+02,9.560000000000000000e+02,7.270000000000000000e+02
1.080000000000000000e+03,4.190000000000000000e+02,9.560000000000000000e+02,7.270000000000000000e+02
1.084000000000000000e+03,4.150000000000000000e+02,9.560000000000000000e+02,7.270000000000000000e+02
1.088000000000000000e+03,4.110000000000000000e+02,9.530000000000000000e+02,7.210000000000000000e+02
1.092000000000000000e+03,4.070000000000000000e+02,9.540000000000000000e+02,7.090000000000000000e+02
1.097000000000000000e+03,4.020000000000000000e+02,9.570000000000000000e+02,6.930000000000000000e+02
1.101000000000000000e+03,3.980000000000000000e+02,9.630000000000000000e+02,6.800000000000000000e+02
1.105000000000000000e+03,3.940000000000000000e+02,9.700000000000000000e+02,6.710000000000000000e+02
1.109000000000000000e+03,3.900000000000000000e+02,9.730000000000000000e+02,6.610000000000000000e+02
