target_x,target_y,gaze_x,gaze_y
7.600000000000000000e+02,7.400000000000000000e+02,1.649000000000000000e+03,-1.000000000000000000e+00
7.690000000000000000e+02,7.300000000000000000e+02,1.655000000000000000e+03,1.600000000000000000e+01
7.770000000000000000e+02,7.220000000000000000e+02,1.661000000000000000e+03,4.000000000000000000e+00
7.850000000000000000e+02,7.140000000000000000e+02,1.667000000000000000e+03,-3.500000000000000000e+01
7.930000000000000000e+02,7.060000000000000000e+02,1.677000000000000000e+03,-8.900000000000000000e+01
7.990000000000000000e+02,7.000000000000000000e+02,1.690000000000000000e+03,-1.550000000000000000e+02
8.060000000000000000e+02,6.930000000000000000e+02,1.701000000000000000e+03,-2.270000000000000000e+02
8.140000000000000000e+02,6.850000000000000000e+02,1.697000000000000000e+03,-2.720000000000000000e+02
8.210000000000000000e+02,6.780000000000000000e+02,1.677000000000000000e+03,-2.830000000000000000e+02
8.290000000000000000e+02,6.700000000000000000e+02,1.639000000000000000e+03,-2.710000000000000000e+02
8.360000000000000000e+02,6.630000000000000000e+02,1.598000000000000000e+03,-2.450000000000000000e+02
8.430000000000000000e+02,6.560000000000000000e+02,1.555000000000000000e+03,-2.230000000000000000e+02
8.500000000000000000e+02,6.490000000000000000e+02,1.516000000000000000e+03,-1.850000000000000000e+02
8.580000000000000000e+02,6.410000000000000000e+02,1.481000000000000000e+03,-1.540000000000000000e+02
8.650000000000000000e+02,6.340000000000000000e+02,1.451000000000000000e+03,-1.310000000000000000e+02
8.720000000000000000e+02,6.270000000000000000e+02,1.426000000000000000e+03,-1.090000000000000000e+02
8.800000000000000000e+02,6.190000000000000000e+02,1.400000000000000000e+03,-7.400000000000000000e+01
8.870000000000000000e+02,6.120000000000000000e+02,1.377000000000000000e+03,-6.700000000000000000e+01
8.940000000000000000e+02,6.050000000000000000e+02,1.357000000000000000e+03,-7.800000000000000000e+01
9.020000000000000000e+02,5.970000000000000000e+02,1.341000000000000000e+03,-9.800000000000000000e+01
9.090000000000000000e+02,5.900000000000000000e+02,1.324000000000000000e+03,-1.310000000000000000e+02
9.160000000000000000e+02,5.830000000000000000e+02,1.312000000000000000e+03,-1.600000000000000000e+02
9.230000000000000000e+02,5.760000000000000000e+02,1.305000000000000000e+03,-1.840000000000000000e+02
9.300000000000000000e+02,5.690000000000000000e+02,1.299000000000000000e+03,-2.030000000000000000e+02
9.370000000000000000e+02,5.620000000000000000e+02,1.294000000000000000e+03,-2.100000000000000000e+02
9.440000000000000000e+02,5.550000000000000000e+02,1.294000000000000000e+03,-2.100000000000000000e+02
9.520000000000000000e+02,5.470000000000000000e+02,1.298000000000000000e+03,-2.030000000000000000e+02
9.590000000000000000e+02,5.400000000000000000e+02,1.312000000000000000e+03,-1.780000000000000000e+02
9.660000000000000000e+02,5.330000000000000000e+02,1.332000000000000000e+03,-1.690000000000000000e+02
9.730000000000000000e+02,5.260000000000000000e+02,1.359000000000000000e+03,-1.660000000000000000e+02
9.800000000000000000e+02,5.190000000000000000e+02,1.397000000000000000e+03,-1.670000000000000000e+02
9.870000000000000000e+02,5.120000000000000000e+02,1.435000000000000000e+03,-1.790000000000000000e+02
9.940000000000000000e+02,5.050000000000000000e+02,1.472000000000000000e+03,-2.140000000000000000e+02
1.002000000000000000e+03,4.970000000000000000e+02,1.510000000000000000e+03,-2.340000000000000000e+02
1.012000000000000000e+03,4.870000000000000000e+02,1.537000000000000000e+03,-2.570000000000000000e+02
1.020000000000000000e+03,4.790000000000000000e+02,1.560000000000000000e+03,-2.760000000000000000e+02
1.028000000000000000e+03,4.710000000000000000e+02,1.576000000000000000e+03,-2.980000000000000000e+02
1.036000000000000000e+03,4.630000000000000000e+02,1.586000000000000000e+03,-3.190000000000000000e+02
1.044000000000000000e+03,4.550000000000000000e+02,1.591000000000000000e+03,-3.360000000000000000e+02
1.051000000000000000e+03,4.480000000000000000e+02,1.591000000000000000e+03,-3.560000000000000000e+02
1.059000000000000000e+03,4.400000000000000000e+02,1.584000000000000000e+03,-3.900000000000000000e+02
1.067000000000000000e+03,4.320000000000000000e+02,1.576000000000000000e+03,-4.170000000000000000e+02
1.074000000000000000e+03,4.250000000000000000e+02,1.568000000000000000e+03,-4.280000000000000000e+02
1.082000000000000000e+03,4.170000000000000000e+02,1.561000000000000000e+03,-4.250000000000000000e+02
1.089000000000000000e+03,4.100000000000000000e+02,1.561000000000000000e+03,-4.250000000000000000e+02
1.096000000000000000e+03,4.030000000000000000e+02,1.560000000000000000e+03,-4.190000000000000000e+02
1.104000000000000000e+03,3.950000000000000000e+02,1.560000000000000000e+03,-4.190000000000000000e+02
1.111000000000000000e+03,3.880000000000000000e+02,1.560000000000000000e+03,-4.190000000000000000e+02
