target_x,target_y,gaze_x,gaze_y,error
7.440000000000000000e+02,2.010000000000000000e+02,9.462268041237113039e+02,2.124948453608247405e+02,2.025532319563407384e+02
1.169000000000000000e+03,7.880000000000000000e+02,1.483468085106382887e+03,1.713617021276595835e+02,6.921943130027669895e+02
3.420000000000000000e+02,4.360000000000000000e+02,8.668602150537634543e+02,1.544946236559139834e+02,5.955867042311374462e+02
1.048000000000000000e+03,9.700000000000000000e+02,1.421516853932584354e+03,1.871460674157303288e+02,8.673955959851028865e+02
3.290000000000000000e+02,7.020000000000000000e+02,8.001250000000000000e+02,1.389375000000000000e+02,7.341649300608480644e+02
