target_x,target_y,gaze_x,gaze_y,error
2.720000000000000000e+02,7.410000000000000000e+02,2.658000000000000114e+02,9.448827586206896285e+02,2.039770067012024413e+02
1.036000000000000000e+03,4.940000000000000000e+02,9.672733333333333121e+02,7.428066666666666151e+02,2.581242183308045810e+02
1.296000000000000000e+03,4.910000000000000000e+02,1.411037383177570064e+03,9.315420560747663785e+02,4.553140703941903098e+02
1.068000000000000000e+03,8.940000000000000000e+02,1.174895424836601251e+03,8.826928104575163161e+02,1.074917875297788470e+02
1.538000000000000000e+03,8.230000000000000000e+02,1.611876106194690237e+03,1.021327433628318545e+03,2.116399064356347992e+02
