target_x,target_y,gaze_x,gaze_y,error
1.442000000000000000e+03,9.240000000000000000e+02,2.306200000000000045e+02,9.154400000000000546e+02,1.211410243476585492e+03
5.250000000000000000e+02,6.200000000000000000e+02,3.013043478260869392e+02,1.133217391304347757e+03,5.598498330255642941e+02
9.950000000000000000e+02,8.920000000000000000e+02,4.490574712643677913e+02,1.305229885057471165e+03,6.846986071162021972e+02
5.650000000000000000e+02,8.320000000000000000e+02,3.566315789473684390e+02,1.074912280701754298e+03,3.200371462935117393e+02
1.802000000000000000e+03,5.960000000000000000e+02,3.133461538461538680e+02,7.963076923076922640e+02,1.502069720507764032e+03
